📈, Added new google analytics gtag
📝, Documentation - Create the 8 important docs WIP
✨, Improve Archived Rules view
⚡, Allow CORS for history-feed.json
💄, UI - Make logo text unselectable
✨, add history.json endpoint
🔧, Make json endpoints accessible
✨, Add ssw colours + add h2 & h4
✨, Add anchor tags to all h3s
💄, Widget style update
🐛, Have the MegaMenu content at 100% width
📦, Updating the remaning packages
📝, Update PR template
🐛, Remove the extra /rules infront of the links
🐛, Fix the all rules button linking to the url
✨, Add All Rules page - add sorting 
💄, widget style update
🐛, Fix image stretching horizontally issue
🐛, figures are now back in town
🐛, Fix Figure + ul underlines
🔧, Added GitHub Issues templates
🐛, Fixed rule tooltips css
✨, Display lightboxes on image clicks.
🔥, #717 removed the p tag
🐛, Fixed bookmark on category page
🐛, Fixed Blank Profile screen
💄, Add editing buttons to rules on category page
💄, Add link to old rules
💄, Add instructions to new rule default text
🐛, Remove validation from redirect URI
💄, Add New Rule button to header
💄, Add social media icons to footer
🔧,  Add rule to remove slash
💄, Add breathing room for mobile screens
🐛,  Fix broken relative images on Netlify CMS
🐛,  Fix figure and image spacing
📝,  Move and rename architecture diagram
📦, Update packages
💄, Add bullet points to categories
🔧, Add mime mapping for yml
💄, Add CSS and fix fenced blocks
🔧, Fix 404 page with code 200
💄, Update icon
🔧, Change response mode
🐛, Fix broken link
✨, Add profile link
💄, Update icon
💄, Comment out broken link
💄, Change icon positions
👷, Add pwsh script to pipelines
👷, Added pwsh script to cancel existing builds
👷, Added pwsh script to cancel existing builds
🐛, Fix acknowledgements image
🐛, Fix images not showing up
✨, Add remove rating feature
💄, Change icon for no rules message
💄, Fix spacing on view filter
💄, Change "really agree" to "love"
💄, Removed padding on rule titles
💄, fix link styling
💄, Make content fonts same weight
💄, Fix greybox overflow
💄, Switch font for more consistency
💄, Fix overflowing code blocks
✨, Add tagline
💄, Add word break to rule content
💄, Remove counter brackets
🐛, Fix bookmark rules
💄, Fix hover texts
💄, Move dropdown avatar
💄, Add styling to category intro links
🐛, Fix default profile tab
✏️, Fix typo
💄, Add hover messages on reactions
💄, Add bookmark tooltip
🐛, Fix disappearing icons on hover
✨, Add extra reactions
✨, Add comments to rules
🐛, Fix bookmark
🐛, Add auth variables to template
🐛, Fix 1% opacity on hover
🐛, Fix reaction buttons position
💄, Add dotted underline to links
🐛, Fix login redirect
👷, Fix publish build artifact
⚡️, Change artifact upload file
✨, Change to b2c authentication
🐛, Fix login redirect
🐛, Fix negative reaction counters
🐛, Fix login redirect
💄, Remove padding from feedback heading
💄, Move like counter
🐛, Fix environment variable
📝, Add architecture diagram
💄, Fix spacing
🐛, Fix spacing issue
💚, Fix Build Health Typo
💚, Update Environment for Health check
🐛, Fix bad function that snuck in
💚, DevOps - Update build health check
💚, Update Build Health and Production Deploy
💚, Update to change the content branch in environments
💚, Update with reusable workflows
📝, Update documentation with suggestions
💚, DevOps -Add GitHub Actions to Build and Deploy to Azure Storage
👷, Add Bicep template
⬆️, Bump focus-trap-react from 8.9.0 to 8.9.1
⬆️, Bump next from 12.0.7 to 12.0.8
⬆️, Bump next-sitemap from 1.6.261 to 1.8.4
⬆️, Bump flow-bin from 0.168.0 to 0.169.0
♿️, Add focus trap to the menu
📄, Update `LICENSE`
⬆️, Bump lint-staged from 12.1.4 to 12.1.5
🔧, Update `dependabot` schedule config
⬆️, Bump @babel/preset-flow from 7.16.5 to 7.16.7
⬆️, Bump lint-staged from 12.1.3 to 12.1.4
📝, Add more information on new emoji issue template
⬆️, Bump lint-staged from 12.1.2 to 12.1.3
⬆️, Bump flow-bin from 0.167.1 to 0.168.0
♿, Remove links animation on `prefers-reduced-motion`
⬆️, Bump flow-bin from 0.166.1 to 0.167.1
⬆️, Bump @babel/preset-flow from 7.16.0 to 7.16.5
⬆️, Bump jest from 27.4.4 to 27.4.5
🍱, Modify project url and description
⬆️, Bump jest from 27.4.3 to 27.4.4
⬆️, Bump next from 12.0.4 to 12.0.7
⬆️, Bump prettier from 2.5.0 to 2.5.1
📝, Update contributing docs
⬆️, Bump `next-pwa`
⬆️, Bump flow-bin from 0.165.1 to 0.166.1
⬆️, Bump jest from 27.4.2 to 27.4.3
⬆️, Bump jest from 27.4.0 to 27.4.2
🔖, Bump version
⬆️, Bump jest from 27.3.1 to 27.4.0
✨, Introduce "Improve developer experience" emoji
🔖, Bump version
🐛, Fix `bricks` name
⬆️, Bump prettier from 2.4.1 to 2.5.0
⬆️, Bump lint-staged from 12.1.1 to 12.1.2
⬆️, Bump next-pwa from 5.4.0 to 5.4.1
🔖, Bump version
✨, Add brick 🧱
📝, Update contributing docs
⬆️, Bump flow-bin from 0.165.0 to 0.165.1
⬆️, Bump lint-staged from 12.0.3 to 12.1.1
⬆️, Bump lint-staged from 12.0.2 to 12.0.3
⬆️, Bump flow-bin from 0.164.0 to 0.165.0
⬆️, Bump next from 12.0.3 to 12.0.4
⬆️, Bump lint-staged from 11.2.6 to 12.0.2
⬆️, Bump flow-bin from 0.163.0 to 0.164.0
⬆️, Bump next from 12.0.2 to 12.0.3
⬆️, Bump next-sitemap from 1.6.199 to 1.6.203
✨, Add input focus with keyboard
⬆️, Bump next-sitemap from 1.6.192 to 1.6.199
⬆️, Bump @babel/preset-flow from 7.14.5 to 7.16.0
⬆️, Bump next from 12.0.1 to 12.0.2
📝, Update contributing docs
🔖, Bump version
✨, Add Stethoscope
⬆️, Bump flow-bin from 0.162.1 to 0.163.0
⬆️, Bump lint-staged from 11.2.4 to 11.2.6
⬆️, Bump next from 12.0.0 to 12.0.1
⬆️, Bump Next.js to 12
⬆️, Bump lint-staged from 11.2.3 to 11.2.4
🔧, Update lock workflow cron
⬆️, Bump next-sitemap from 1.6.189 to 1.6.192
⬆️, Bump husky from 7.0.2 to 7.0.4
⬆️, Bump jest from 27.3.0 to 27.3.1
⬆️, Bump next-sitemap from 1.6.184 to 1.6.189
⬆️, Bump flow-bin from 0.162.0 to 0.162.1
⬆️, Bump jest from 27.2.5 to 27.3.0
⬆️, Bump next-pwa from 5.3.2 to 5.4.0
⬆️, Bump next-pwa from 5.3.1 to 5.3.2
⬆️, Bump flow-bin from 0.161.0 to 0.162.0
⬆️, Bump next-sitemap from 1.6.179 to 1.6.184
⬆️, Bump jest from 27.2.4 to 27.2.5
⬆️, Bump lint-staged from 11.2.0 to 11.2.3
⬆️, Bump next-sitemap from 1.6.173 to 1.6.179
⬆️, Bump lint-staged from 11.1.2 to 11.2.0
⬆️, Bump next-sitemap from 1.6.168 to 1.6.173
⬆️, Bump jest from 27.2.3 to 27.2.4
⬆️, Bump flow-bin from 0.160.2 to 0.161.0
⬆️, Bump jest from 27.2.2 to 27.2.3
⬆️, Bump jest from 27.2.1 to 27.2.2
⬆️, Bump flow-bin from 0.160.1 to 0.160.2
⬆️, Bump jest from 27.2.0 to 27.2.1
⬆️, Bump flow-bin from 0.160.0 to 0.160.1
⬆️, Bump prettier from 2.4.0 to 2.4.1
⬆️, Bump flow-bin from 0.159.0 to 0.160.0
⬆️, Bump jest from 27.1.1 to 27.2.0
⬆️, Bump prettier from 2.3.2 to 2.4.0
⬆️, Bump jest from 27.1.0 to 27.1.1
⬆️, Bump next-sitemap from 1.6.164 to 1.6.168
⬆️, Bump flow-bin from 0.158.0 to 0.159.0
⬆️, Bump next from 11.1.1 to 11.1.2
⬆️, Bump next from 11.1.0 to 11.1.1
⬆️, Bump jest from 27.0.6 to 27.1.0
⬆️, Bump husky from 7.0.1 to 7.0.2
⬆️, Bump next-sitemap from 1.6.162 to 1.6.164
⬆️, Bump next-sitemap from 1.6.157 to 1.6.162
